ID|P|Value|Qualifier_P|Qualifier_V|S854|S813
CREATE|P800|Comparative SUMO Proteome Analysis Using Stable Isotopic Labeling by Amino Acids (SILAC).|||S854|https://orcid.org/0009-0009-8131-7627|S813|+2025-06-07T00:00:00Z/11
CREATE|P69|University of Copenhagen|||S854|https://orcid.org/0000-0003-0161-0559|S813|+2025-06-07T00:00:00Z/11
CREATE|P69|Leiden University|P580|+2014-00-00T00:00:00Z/9|S854|https://orcid.org/0000-0003-1655-0931|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Navigating the Landscape: A Comprehensive Review of Current Virus Databases|||S854|https://orcid.org/0000-0003-1655-0931|S813|+2025-06-07T00:00:00Z/11
CREATE|P4032|Oxford University Press|P236|2730-6151|S854|https://orcid.org/0000-0003-1655-0931|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|First full-genome alignment representative for the genusPestivirus|||S854|https://orcid.org/0000-0001-8999-4395|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Robotic mechanical wounding is sufficient to induce phenylacetaldoxime accumulation in Tococa quadrialata|||S854|https://orcid.org/0009-0007-0313-2593|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|MuDoGeR: Multi-Domain Genome recovery from metagenomes made easy|||S854|https://orcid.org/0000-0001-6513-5350|S813|+2025-06-07T00:00:00Z/11
CREATE|P4032|Public Library of Science|P236|1553-7358|S854|https://orcid.org/0000-0001-6513-5350|S813|+2025-06-07T00:00:00Z/11
CREATE|P69|University of Nevada Reno|||S854|https://orcid.org/0009-0000-1799-5268|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Collaborative work in NFDI|||S854|https://orcid.org/0000-0003-0616-5191|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Aruna Object Storage|||S854|https://orcid.org/0000-0001-5130-546X|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Crypt4GH-JS: securely storing sensitive data online with client-side encryption|||S854|https://orcid.org/0009-0004-4382-4760|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Complete Genome Sequence of an Ebola Virus Isolate Imported from Sierra Leone to Germany Determined by Circle Sequencing|||S854|https://orcid.org/0009-0007-3729-1533|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Urinary eosinophil-derived neurotoxin is associated with reduced lung function in pediatric asthma.|||S854|https://orcid.org/0000-0003-4328-9193|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|A Novel RNA Aptamer as Synthetic Inducer of DasR Controlled Transcription|||S854|https://orcid.org/0009-0006-8111-1723|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|Faecal Cytolysin is Associated With Worse Survival in Patients With Primary Sclerosing Cholangitis|||S854|https://orcid.org/0009-0008-2472-5061|S813|+2025-06-07T00:00:00Z/11
CREATE|P800|ACT NOW, LATE OR NEVER: Make Digital Objects (more) archivable early in their life cycle?|||S854|https://orcid.org/0000-0002-9316-8982|S813|+2025-06-07T00:00:00Z/11
